player_name,draft_year,draft_pick,college,college_college,final_season,draft_round,pass_attempts,completions,passing_yards,passing_tds,interceptions,games_played,opponents,leaf_name,college_nfl,nfl_team,round,pick,rookie_games,rookie_attempts,rookie_leaf_mean,rookie_leaf_final,rookie_leaf_std,rookie_leaf_min,rookie_leaf_max,rookie_epa_mean,rookie_cpoe_mean,college_games_played,competition_tier,sos_sp_plus,team_sp_plus
Matt Corral,2022,94,Mississippi,Mississippi,2021.0,3.0,,,,,,,,,,CAR,3.0,94.0,,,,,,,,,,,,,
Chris Oladokun,2022,241,South Dakota St.,South Dakota St.,2021.0,7.0,,,,,,,,,,PIT,7.0,241.0,,,,,,,,,,,,,
Hendon Hooker,2023,68,Tennessee,Tennessee,2022.0,3.0,,,,,,,,,,DET,3.0,68.0,,,,,,,,,,,,,
Jake Haener,2023,127,Fresno St.,Fresno St.,2022.0,4.0,,,,,,,,,,NOR,4.0,127.0,,,,,,,,,,,,,
Stetson Bennett,2023,128,Georgia,Georgia,2022.0,4.0,,,,,,,,,,LAR,4.0,128.0,,,,,,,,,,,,,
Tanner McKee,2023,188,Stanford,Stanford,2022.0,6.0,,,,,,,,,,PHI,6.0,188.0,,,,,,,,,,,,,
Max Duggan,2023,239,TCU,TCU,2022.0,7.0,,,,,,,,,,LAC,7.0,239.0,,,,,,,,,,,,,
Caleb Williams,2024,1,USC,USC,2023.0,1.0,,,,,,,,,,CHI,1.0,1.0,,,,,,,,,,,,,
Jayden Daniels,2024,2,LSU,LSU,2023.0,1.0,,,,,,,,,,WAS,1.0,2.0,,,,,,,,,,,,,
Drake Maye,2024,3,North Carolina,North Carolina,2023.0,1.0,,,,,,,,,,NWE,1.0,3.0,,,,,,,,,,,,,
Michael Penix,2024,8,Washington,Washington,2023.0,1.0,,,,,,,,,,ATL,1.0,8.0,,,,,,,,,,,,,
J.J. McCarthy,2024,10,Michigan,Michigan,2023.0,1.0,,,,,,,,,,MIN,1.0,10.0,,,,,,,,,,,,,
Bo Nix,2024,12,Oregon,Oregon,2023.0,1.0,,,,,,,,,,DEN,1.0,12.0,,,,,,,,,,,,,
Spencer Rattler,2024,150,South Carolina,South Carolina,2023.0,5.0,,,,,,,,,,NOR,5.0,150.0,,,,,,,,,,,,,
Jordan Travis,2024,171,Florida St.,Florida St.,2023.0,5.0,,,,,,,,,,NYJ,5.0,171.0,,,,,,,,,,,,,
Joe Milton,2024,193,Tennessee,Tennessee,2023.0,6.0,,,,,,,,,,NWE,6.0,193.0,,,,,,,,,,,,,
Devin Leary,2024,218,Kentucky,Kentucky,2023.0,6.0,,,,,,,,,,BAL,6.0,218.0,,,,,,,,,,,,,
Michael Pratt,2024,245,Tulane,Tulane,2023.0,7.0,,,,,,,,,,GNB,7.0,245.0,,,,,,,,,,,,,
Cam Ward,2025,1,Miami (FL),Miami (FL),2024.0,1.0,,,,,,,,,,TEN,1.0,1.0,,,,,,,,,,,,,
Jaxson Dart,2025,25,Mississippi,Mississippi,2024.0,1.0,,,,,,,,,,NYG,1.0,25.0,,,,,,,,,,,,,
Tyler Shough,2025,40,Louisville,Louisville,2024.0,2.0,,,,,,,,,,NOR,2.0,40.0,,,,,,,,,,,,,
Jalen Milroe,2025,92,Alabama,Alabama,2024.0,3.0,,,,,,,,,,SEA,3.0,92.0,,,,,,,,,,,,,
Dillon Gabriel,2025,94,Oregon,Oregon,2024.0,3.0,,,,,,,,,,CLE,3.0,94.0,,,,,,,,,,,,,
Shedeur Sanders,2025,144,Colorado,Colorado,2024.0,5.0,,,,,,,,,,CLE,5.0,144.0,,,,,,,,,,,,,
Kyle McCord,2025,181,Syracuse,Syracuse,2024.0,6.0,,,,,,,,,,PHI,6.0,181.0,,,,,,,,,,,,,
Will Howard,2025,185,Ohio St.,Ohio St.,2024.0,6.0,,,,,,,,,,PIT,6.0,185.0,,,,,,,,,,,,,
Riley Leonard,2025,189,Notre Dame,Notre Dame,2024.0,6.0,,,,,,,,,,IND,6.0,189.0,,,,,,,,,,,,,
Graham Mertz,2025,197,Florida,Florida,2024.0,6.0,,,,,,,,,,HOU,6.0,197.0,,,,,,,,,,,,,
Tommy Mellott,2025,213,Montana St.,Montana St.,2024.0,6.0,,,,,,,,,,LVR,6.0,213.0,,,,,,,,,,,,,
Cam Miller,2025,215,North Dakota St.,North Dakota St.,2024.0,6.0,,,,,,,,,,LVR,6.0,215.0,,,,,,,,,,,,,
Kurtis Rourke,2025,227,Indiana,Indiana,2024.0,7.0,,,,,,,,,,SFO,7.0,227.0,,,,,,,,,,,,,
Quinn Ewers,2025,231,Texas,Texas,2024.0,7.0,,,,,,,,,,MIA,7.0,231.0,,,,,,,,,,,,,
